count,noindex,index
1,132.8141,0.0193
2,301.7672,0.025500000000000002
3,515.0784,0.0227
4,588.5608,0.036699999999999997
5,732.4864,0.0215
6,1019.8197,0.0268
7,1124.9781,0.025599999999999998
8,1194.0731,0.0264
9,1322.8982,0.0248
10,1538.6249,0.0226
11,1734.7812,0.024
12,1993.9357,0.025400000000000002
13,2615.6474,0.024
14,2767.5011,0.0226
15,2912.1106,0.0208
16,2546.8302,0.0216
17,3182.1211,0.0212
18,3362.1988,0.0237
19,2802.8394,0.0266
20,3661.3106,0.0251
21,3749.928,0.023899999999999998
22,3946.2311,0.0594
23,4021.2319,0.0218
24,4120.4937,0.0254
25,4389.5103,0.0245
26,4526.1585000000005,0.0251
27,4729.6445,0.0239
28,4572.2045,0.0279
29,5062.8333999999995,0.024399999999999998
30,5283.4874,0.0218
31,4654.2891,0.0255
32,4253.6928,0.0363
33,4499.4035,0.0224
34,4536.6033,0.0253
35,4633.2401,0.0217
36,4743.5365,0.0252
37,5259.7326,0.0284
38,5398.3724,0.0706
39,5039.973,0.0276
40,5758.8396,0.0253
